id,title,point,level,solved,wrong,no,tags,open,wp,unknown_flag,url
444,[SWPUCTF 2021 新生赛]re1,1,2.8,4173,6636,1255,C|逆向技术|语言逆向|C++|自定义逻辑,True,False,,https://www.nssctf.cn/problem/444
403,[SWPUCTF 2021 新生赛]简简单单的逻辑,1,2.9,3340,2508,831,Python|XOR|算法分析|语言逆向|逆向技术,True,False,,https://www.nssctf.cn/problem/403
3845,[LitCTF 2023]世界上最棒的程序员,1,2.4,3238,2903,462,C|逆向技术|语言逆向|脱壳|编码分析,True,False,,https://www.nssctf.cn/problem/3845
2145,[NSSCTF 2022 Spring Recruit]easy C,1,2.5,2906,2960,411,C|XOR|语言逆向|逆向技术|算法分析,True,False,,https://www.nssctf.cn/problem/2145
445,[SWPUCTF 2021 新生赛]re2,1,2.6,2586,11339,701,C|语言逆向|算法分析|逆向技术|自定义逻辑,True,False,,https://www.nssctf.cn/problem/445
2654,[SWPUCTF 2022 新生赛]base64,1,2.5,2393,364,524,Base64|C|逆向技术|算法分析|语言逆向,True,False,,https://www.nssctf.cn/problem/2654
404,[SWPUCTF 2021 新生赛]简简单单的解密,1,2.8,2224,575,573,RC4|Python|语言逆向|算法分析|逆向技术,True,False,,https://www.nssctf.cn/problem/404
1997,[WUSTCTF 2020]level2,1,2.5,2206,1354,449,脱壳|UPX壳|逆向技术|C|语言逆向,True,False,,https://www.nssctf.cn/problem/1997
2593,[HUBUCTF 2022 新生赛]simple_RE,1,2.8,2023,487,421,Base64|C|算法分析|逆向技术|Python,True,False,,https://www.nssctf.cn/problem/2593
2902,[HNCTF 2022 Week1]超级签到,1,2.5,1785,4405,354,C|逆向技术|语言逆向|自定义逻辑|反调试,True,False,,https://www.nssctf.cn/problem/2902
3778,[HDCTF 2023]easy_re,1,2.4,1782,2596,416,Base64|脱壳|UPX壳|C|逆向技术,True,False,,https://www.nssctf.cn/problem/3778
405,[SWPUCTF 2021 新生赛]非常简单的逻辑题,1,2.9,1749,652,408,Python|语言逆向|逆向技术|自定义逻辑|算法分析,True,False,,https://www.nssctf.cn/problem/405
2651,[SWPUCTF 2022 新生赛]easyre,1,1.9,1700,256,291,逆向技术|C|语言逆向|其他|REVERSE,True,False,,https://www.nssctf.cn/problem/2651
407,[SWPUCTF 2021 新生赛]fakerandom,1,2.6,1652,299,312,Python|XOR|语言逆向|算法分析|逆向技术,True,False,,https://www.nssctf.cn/problem/407
880,[GFCTF 2021]wordy,1,3.0,1589,919,678,花指令|C|逆向技术|语言逆向|IDC脚本,True,False,,https://www.nssctf.cn/problem/880
2313,[NSSRound#3 Team]jump_by_jump,1,2.2,1521,275,292,花指令|逆向技术|C|语言逆向|Base64,True,False,,https://www.nssctf.cn/problem/2313
